105300,025620,5630,2,760,15.61,94.9,4113951,3904059,-209892,15359,20669,5310,8159236,5640,5640,5620,6182,55,71,66780,62640,4221,1961
105400,025620,5630,2,760,15.61,94.86,4121375,3909388,-211987,15505,20856,5351,8172264,5620,5630,5610,4287,7,20,67868,87439,1274,2738
105500,025620,5610,2,740,15.2,94.79,4130828,3915620,-215208,15530,20889,5359,8189859,5600,5610,5590,10003,16,26,59194,100121,2586,5507
105700,025620,5600,2,730,14.99,94.73,4136292,3918466,-217826,15554,20923,5369,8198169,5590,5600,5590,3094,8,11,40751,135767,2265,829
105800,025620,5580,2,710,14.58,94.67,4142476,3921748,-220728,15575,20955,5380,8207635,5600,5600,5580,5450,12,12,44768,145881,4537,913
110000,025620,5570,2,700,14.37,94.21,4165022,3923874,-241148,15614,20980,5366,8232307,5580,5580,5570,97,1,1,25447,141653,87,10
110100,025620,5590,2,720,14.78,94.13,4171172,3926144,-245028,15714,21095,5381,8240727,5580,5590,5580,1480,50,58,35800,132861,522,958
110200,025620,5580,2,710,14.58,94.13,4173416,3928594,-244822,15888,21295,5407,8245421,5590,5590,5580,2233,95,106,41008,136297,1065,1168
110400,025620,5580,2,710,14.58,94.01,4181528,3931020,-250508,16022,21459,5437,8255959,5580,5580,5570,274,0,7,34514,134597,0,274
110500,025620,5470,2,600,12.32,90.41,4364524,3946090,-418434,16446,21652,5206,8454080,5490,5510,5430,58629,228,130,17475,80769,49142,9432
110600,025620,5410,2,540,11.09,88.8,4472331,3971315,-501016,16906,22035,5129,8587719,5420,5430,5400,89443,295,240,62475,114383,76281,12893
110800,025620,5430,2,560,11.5,88.96,4491236,3995217,-496019,17216,22402,5186,8630526,5430,5440,5420,3855,43,52,86312,117146,273,3582
110900,025620,5390,2,520,10.68,88.31,4584102,4047995,-536107,17625,22761,5136,8776170,5390,5410,5390,61749,124,163,56325,158028,19421,42328
111000,025620,5420,2,550,11.29,88.79,4600252,4084591,-515661,17903,23752,5849,8828916,5430,5430,5410,21207,183,649,44291,136993,9179,12028
111200,025620,5400,2,530,10.88,88.76,4611154,4092749,-518405,18192,24400,6208,8847976,5410,5420,5400,8413,67,61,43540,148177,6310,2103
111300,025620,5400,2,530,10.88,88.66,4631317,4106309,-525008,18479,24688,6209,8883217,5400,5400,5390,13313,112,129,42895,174568,1935,11378
111500,025620,5400,2,530,10.88,88.6,4639034,4110396,-528638,18525,24726,6201,8895021,5400,5400,5400,0,0,0,47010,143957,0,0
111600,025620,5410,2,540,11.09,88.61,4644478,4115347,-529131,18543,24772,6229,8905505,5400,5410,5400,1063,3,9,47981,147547,311,752
111700,025620,5420,2,550,11.29,88.71,4647364,4122448,-524916,18567,24797,6230,8915492,5410,5430,5410,6410,10,14,50865,122993,1864,4546
111900,025620,5410,2,540,11.09,88.69,4655896,4129238,-526658,18588,24821,6233,8930814,5420,5420,5410,2537,4,0,50062,116168,2537,0
112000,025620,5400,2,530,10.88,88.41,4673463,4131917,-541546,18621,24860,6239,8951060,5420,5420,5400,13159,16,9,42601,141806,12777,382
112100,025620,5400,2,530,10.88,88.23,4683838,4132647,-551191,18649,24872,6223,8962165,5410,5410,5400,2722,9,10,39597,133539,2013,709
112300,025620,5400,2,530,10.88,88.05,4698428,4137023,-561405,18669,24894,6225,8981131,5420,5420,5400,10890,6,3,36288,123785,10092,798
112400,025620,5420,2,550,11.29,88.14,4699719,4142403,-557316,18680,24940,6260,8987802,5410,5420,5400,3113,3,21,39600,121033,189,2924
112500,025620,5410,2,540,11.09,88.07,4709254,4147483,-561771,18695,24975,6280,9002417,5430,5430,5410,7617,12,16,44930,125761,4950,2667
112700,025620,5420,2,550,11.29,87.97,4715425,4148273,-567152,18709,24992,6283,9009378,5420,5420,5410,387,1,9,46560,121698,1,386
112800,025620,5420,2,550,11.29,87.92,4720895,4150739,-570156,18730,25012,6282,9017314,5420,5420,5420,1344,12,4,52753,112913,1218,126
113000,025620,5430,2,560,11.5,88.0,4725125,4158335,-566790,18871,25275,6404,9029140,5440,5440,5430,20,4,7,66145,108793,4,16
113100,025620,5440,2,570,11.7,88.56,4744156,4201394,-542762,19145,25886,6741,9092372,5470,5470,5430,14959,82,155,75976,85917,12858,2101
113200,025620,5450,2,580,11.91,88.61,4753017,4211685,-541332,19399,26330,6931,9111524,5450,5460,5430,7672,135,260,71986,78884,4087,3585
113400,025620,5460,2,590,12.11,88.69,4765736,4226528,-539208,19651,26826,7175,9139086,5470,5470,5460,613,16,49,70671,80717,16,597
113500,025620,5470,2,600,12.32,88.66,4774498,4233176,-541322,19909,27285,7376,9154496,5450,5470,5450,5308,84,131,76165,86125,446,4862
113600,025620,5490,2,620,12.73,88.92,4779577,4250054,-529523,20166,27764,7598,9176453,5470,5490,5470,18352,153,284,72691,66428,3880,14472
113800,025620,5510,2,640,13.14,89.71,4782614,4290652,-491962,20423,28281,7858,9220088,5490,5520,5490,6511,42,50,81034,52114,1264,5247
113900,025620,5490,2,620,12.73,89.59,4803868,4303852,-500016,20719,28698,7979,9254542,5490,5500,5480,9085,113,185,80274,84701,3689,5396
114000,025620,5480,2,610,12.53,89.49,4815224,4309279,-505945,20978,29216,8238,9271328,5490,5500,5470,14188,180,378,68514,115083,9649,4539
114200,025620,5500,2,630,12.94,89.55,4821880,4318151,-503729,21231,29673,8442,9286856,5490,5500,5480,5526,59,81,81559,99918,935,4591
114300,025620,5520,2,650,13.35,89.84,4825644,4335172,-490472,21475,30186,8711,9307641,5490,5520,5490,13123,119,269,102379,89787,2416,10707
114500,025620,5520,2,650,13.35,90.18,4843186,4367557,-475629,21733,30727,8994,9357615,5540,5540,5520,149,2,2,96782,48450,54,56
114600,025620,5490,2,620,12.73,89.7,4873596,4371800,-501796,21803,30750,8947,9392268,5480,5490,5480,7221,19,1,66713,61964,7018,203
114700,025620,5480,2,610,12.53,89.53,4886386,4374641,-511745,21845,30764,8919,9407899,5470,5480,5470,11769,26,10,41469,66091,9058,2711
114900,025620,5490,2,620,12.73,89.55,4887720,4376792,-510928,21860,30783,8923,9411384,5490,5500,5490,460,3,1,72784,57733,455,5
