Date,Open,High,Low,Close,Volume
2014-02-13,1936.62,1944.73,1924.39,1926.96,187857000
2014-02-14,1930.14,1946.81,1930.14,1940.28,216590000
2014-02-17,1951.74,1955.04,1942.94,1946.36,215467000
2014-02-18,1946.88,1951.06,1935.6,1946.91,200447000
2014-02-19,1944.7,1944.7,1932.44,1942.93,213564000
2014-02-20,1932.9,1941.13,1927.53,1930.57,232323000
2014-02-21,1948.03,1957.83,1946.68,1957.83,216316000
2014-02-24,1958.06,1961.41,1943.86,1949.05,193814000
2014-02-25,1958.3,1964.86,1955.7,1964.86,226038000
2014-02-26,1963.45,1973.88,1955.92,1970.77,209147000
2014-02-27,1969.85,1980.37,1965.7,1978.43,201055000
2014-02-28,1976.48,1981.15,1972.65,1979.99,252826000
2014-03-03,1967.9,1969.16,1955.11,1964.69,222621000
2014-03-04,1954.58,1963.56,1952.61,1954.11,200370000
2014-03-05,1973.28,1977.3,1970.28,1971.24,197699000
2014-03-06,1973.67,1975.62,1968.17,1975.62,193740000
2014-03-07,1979.7,1983.53,1968.66,1974.68,231557000
2014-03-10,1967.63,1967.66,1951.96,1954.42,214944000
2014-03-11,1957.22,1963.87,1951.2,1963.87,247468000
2014-03-12,1957.67,1958.09,1930.48,1932.54,329923000
2014-03-13,1940.35,1946.28,1931.75,1934.38,259619000
2014-03-14,1916.07,1927.89,1913.64,1919.9,254025000
2014-03-17,1921.15,1928.43,1919.61,1927.53,214929000
2014-03-18,1941.12,1946.14,1931.83,1940.21,274288000
2014-03-19,1947.34,1948.15,1935.27,1937.68,249083000
2014-03-20,1934.15,1934.63,1919.37,1919.52,220600000
2014-03-21,1930.24,1935.18,1927.85,1934.94,252871000
2014-03-24,1937.06,1950.54,1937.06,1945.55,228280000
2014-03-25,1940.9,1946.09,1936.62,1941.25,225160000
2014-03-26,1954.6,1965.44,1953.69,1964.31,248945000
2014-03-27,1963.66,1979.7,1963.1,1977.97,218060000
2014-03-28,1972.63,1985.5,1971.25,1981.0,244600000
2014-03-31,1988.73,1989.8,1973.05,1985.61,241040000
2014-04-01,1983.78,1991.98,1976.06,1991.98,214641000
2014-04-02,2000.13,2001.26,1995.08,1997.25,220913000
2014-04-03,1999.42,2007.88,1992.16,1993.7,225726000
2014-04-04,1987.84,1993.96,1985.76,1988.09,225635000
2014-04-07,1984.29,1992.18,1978.63,1989.7,186350000
2014-04-08,1977.61,1994.58,1977.61,1993.03,218149000
2014-04-09,1997.98,2001.15,1992.12,1998.95,233698000
2014-04-10,2007.71,2008.98,1995.79,2008.61,232446000
2014-04-11,1985.28,1997.44,1985.16,1997.44,218126000
2014-04-14,1993.81,2001.0,1993.07,1997.02,205712000
2014-04-15,2008.49,2009.04,1990.34,1992.27,194527000
2014-04-16,1994.31,1995.86,1986.25,1992.21,230740000
2014-04-17,2000.47,2001.29,1984.98,1992.05,200186000
2014-04-18,1998.52,2005.22,1998.26,2004.28,206506000
2014-04-21,2006.21,2006.95,1993.53,1999.22,205579000
2014-04-22,2000.94,2004.42,1991.47,2004.22,212020000
2014-04-23,2010.06,2013.09,1999.78,2000.37,241734000
2014-04-24,2006.38,2007.17,1993.18,1998.34,235074000
2014-04-25,1996.61,1996.64,1971.66,1971.66,208364000
2014-04-28,1969.04,1976.56,1969.04,1969.26,168833000
2014-04-29,1974.67,1976.17,1960.36,1964.77,177609000
2014-04-30,1973.56,1974.33,1955.15,1961.79,227317000
2014-05-02,1966.29,1968.5,1956.32,1959.44,179541000
2014-05-07,1964.19,1964.19,1939.55,1939.88,193040000
2014-05-08,1945.94,1950.6,1934.72,1950.6,222431000
2014-05-09,1953.48,1958.34,1949.64,1956.55,205209000
2014-05-12,1956.26,1966.64,1950.91,1964.94,201643000
2014-05-13,1973.08,1988.41,1969.6,1982.93,242163000
2014-05-14,1990.99,2010.85,1990.79,2010.83,233871000
2014-05-15,2007.88,2015.37,2006.38,2010.2,259392000
2014-05-16,2003.48,2013.44,1997.27,2013.44,232529000
2014-05-19,2013.79,2015.53,2002.89,2015.14,265596000
2014-05-20,2011.85,2014.46,2004.32,2011.26,248337000
2014-05-21,2003.48,2015.63,2001.74,2008.33,224090000
2014-05-22,2015.41,2022.59,2011.6,2015.59,231079000
2014-05-23,2013.09,2017.96,2011.76,2017.17,241806000
2014-05-26,2016.21,2020.96,2008.14,2010.35,196575000
2014-05-27,2014.87,2016.73,1988.44,1997.63,221791000
2014-05-28,2000.26,2017.06,1997.89,2017.06,210650000
2014-05-29,2020.67,2021.96,2009.23,2012.26,228538000
2014-05-30,2015.37,2019.17,1994.96,1994.96,247324000
2014-06-02,1998.81,2006.93,1995.69,2002.0,265590000
2014-06-03,2006.31,2008.56,1990.72,2008.56,266745000
2014-06-05,2007.2,2007.2,1986.95,1995.48,222091000
2014-06-09,2004.73,2008.86,1986.53,1990.04,209610000
2014-06-10,2000.89,2011.87,1996.21,2011.8,234933000
2014-06-11,2009.51,2016.78,2006.73,2014.67,238048000
2014-06-12,2013.6,2015.8,2003.57,2011.65,251876000
2014-06-13,2005.55,2005.55,1984.04,1990.85,223112000
2014-06-16,1986.86,1995.86,1985.3,1993.59,233603000
2014-06-17,1994.89,2002.96,1991.53,2001.55,236597000
2014-06-18,2002.26,2002.26,1987.03,1989.49,216850000
2014-06-19,1994.23,1999.11,1985.89,1992.03,257886000
2014-06-20,1990.71,1990.73,1965.12,1968.07,232659000
2014-06-23,1975.1,1980.31,1971.61,1974.92,231738000
2014-06-24,1976.24,1998.31,1976.24,1994.35,250605000
2014-06-25,1992.69,1993.6,1980.78,1981.77,336654000
2014-06-26,1983.0,1997.08,1982.48,1995.05,273508000
2014-06-27,1990.9,1997.01,1983.88,1988.51,218844000
2014-06-30,1996.13,2002.21,1992.65,2002.21,201128000
2014-07-01,1993.29,1999.0,1987.89,1999.0,238870000
2014-07-02,2008.0,2016.36,2002.4,2015.28,318423000
2014-07-03,2015.99,2015.99,2007.86,2010.97,259913000
2014-07-04,2018.35,2018.35,2005.84,2009.66,241513000
2014-07-07,2007.53,2009.32,1998.03,2005.12,228338000
2014-07-08,2003.55,2009.22,1997.87,2006.66,259356000
2014-07-09,1997.57,2000.89,1992.42,2000.5,272746000
2014-07-10,2004.63,2006.5,1999.96,2002.84,327639000
2014-07-11,1988.93,1993.46,1985.53,1988.74,277018000
2014-07-14,1998.26,2001.11,1993.57,1993.88,270389000
2014-07-15,2004.93,2015.54,2004.49,2012.72,361201000
2014-07-16,2015.67,2018.05,2008.99,2013.48,315167000
2014-07-17,2020.52,2025.41,2018.77,2020.9,322694000
2014-07-18,2007.12,2019.42,2006.01,2019.42,304521000
2014-07-21,2028.02,2030.61,2016.42,2018.5,274627000
2014-07-22,2021.18,2028.93,2017.76,2028.93,265888000
2014-07-23,2032.73,2035.24,2025.0,2028.32,353510000
2014-07-24,2032.94,2034.72,2021.22,2026.62,323590000
2014-07-25,2030.04,2036.2,2027.33,2033.85,282769000
2014-07-28,2035.96,2053.84,2035.96,2048.81,349018000
2014-07-29,2054.03,2065.96,2053.41,2061.97,408767000
2014-07-30,2064.47,2093.08,2062.88,2082.61,343285000
2014-07-31,2081.75,2090.57,2070.78,2076.12,383726000
2014-08-01,2063.71,2079.81,2062.54,2073.1,271966000
2014-08-04,2080.77,2083.05,2067.17,2080.42,253201000
2014-08-05,2076.17,2077.73,2058.92,2066.26,346821000
2014-08-06,2062.93,2068.08,2055.68,2060.73,377266000
2014-08-07,2062.24,2063.53,2047.75,2054.51,292935000
2014-08-08,2049.51,2051.06,2026.56,2031.1,354820000
2014-08-11,2048.18,2048.18,2037.8,2039.37,285842000
2014-08-12,2048.39,2055.85,2038.14,2041.47,312799000
2014-08-13,2046.68,2062.36,2043.11,2062.36,280663000
2014-08-14,2065.69,2073.42,2056.06,2063.22,270849000
2014-08-18,2070.95,2073.05,2053.13,2053.13,300419000
2014-08-19,2065.19,2074.43,2064.34,2071.14,327122000
2014-08-20,2080.77,2082.21,2063.61,2072.78,315354000
2014-08-21,2067.63,2068.22,2041.91,2044.21,307794000
2014-08-22,2048.24,2058.46,2046.54,2056.7,277858000
2014-08-25,2049.16,2062.23,2044.2,2060.89,272044000
2014-08-26,2069.07,2072.42,2065.15,2068.05,288908000
2014-08-27,2075.45,2081.83,2070.77,2074.93,337612000
